space,true_class,pred_class,high_rare,rootcause_category,n,rare_count_mean,knn_true_frac_mean,knn_pred_frac_mean
raw_scaled,Ransomware,Spyware,False,model_boundary_failure_knn_true_neighbors,30,0.0,0.6013333333333333,0.2146666666666667
raw_scaled,Ransomware,Spyware,False,OOD_or_distribution_shift,26,0.3076923076923077,0.3861538461538461,0.52
raw_scaled,Ransomware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.54,0.0
raw_scaled,Ransomware,Trojan,False,mixed_neighbors_ambiguous,94,0.02127659574468085,0.3480851063829788,0.36893617021276587
raw_scaled,Ransomware,Trojan,False,feature_space_overlap_with_pred_class,68,0.0,0.2670588235294118,0.6282352941176471
raw_scaled,Ransomware,Trojan,False,model_boundary_failure_knn_true_neighbors,33,0.0,0.5818181818181819,0.3151515151515152
raw_scaled,Ransomware,Trojan,False,OOD_or_distribution_shift,5,0.4,0.4880000000000001,0.31200000000000006
raw_scaled,Spyware,Benign                                                                                      ,True,OOD_or_distribution_shift,1,9.0,0.28,0.0
raw_scaled,Spyware,Ransomware,True,OOD_or_distribution_shift,7,4.285714285714286,0.5257142857142857,0.3885714285714285
raw_scaled,Spyware,Ransomware,True,model_boundary_failure_knn_true_neighbors,1,2.0,0.64,0.24
raw_scaled,Spyware,Ransomware,False,mixed_neighbors_ambiguous,97,0.07216494845360824,0.2787628865979382,0.3344329896907216
raw_scaled,Spyware,Ransomware,False,feature_space_overlap_with_pred_class,23,0.0,0.19826086956521746,0.5860869565217391
raw_scaled,Spyware,Ransomware,False,model_boundary_failure_knn_true_neighbors,18,0.05555555555555555,0.6377777777777779,0.2755555555555556
raw_scaled,Spyware,Ransomware,False,OOD_or_distribution_shift,15,0.4666666666666667,0.536,0.3546666666666667
raw_scaled,Spyware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.48000000000000004,0.1
raw_scaled,Spyware,Trojan,False,mixed_neighbors_ambiguous,104,0.019230769230769232,0.2803846153846154,0.36
raw_scaled,Spyware,Trojan,False,feature_space_overlap_with_pred_class,56,0.0,0.1807142857142857,0.6335714285714287
raw_scaled,Spyware,Trojan,False,model_boundary_failure_knn_true_neighbors,24,0.0,0.6383333333333333,0.25833333333333336
raw_scaled,Spyware,Trojan,False,OOD_or_distribution_shift,10,0.4,0.4920000000000001,0.304
raw_scaled,Trojan,Ransomware,True,OOD_or_distribution_shift,2,4.0,0.22000000000000003,0.34
raw_scaled,Trojan,Ransomware,False,mixed_neighbors_ambiguous,183,0.00546448087431694,0.32196721311475407,0.3490710382513661
raw_scaled,Trojan,Ransomware,False,feature_space_overlap_with_pred_class,87,0.0,0.2694252873563218,0.5917241379310345
raw_scaled,Trojan,Ransomware,False,model_boundary_failure_knn_true_neighbors,83,0.012048192771084338,0.6106024096385542,0.28144578313253016
raw_scaled,Trojan,Ransomware,False,OOD_or_distribution_shift,6,0.3333333333333333,0.39333333333333337,0.3
raw_scaled,Trojan,Spyware,True,OOD_or_distribution_shift,2,4.5,0.14,0.86
raw_scaled,Trojan,Spyware,False,mixed_neighbors_ambiguous,122,0.01639344262295082,0.33803278688524596,0.31213114754098364
raw_scaled,Trojan,Spyware,False,feature_space_overlap_with_pred_class,50,0.0,0.1832,0.6791999999999999
raw_scaled,Trojan,Spyware,False,model_boundary_failure_knn_true_neighbors,33,0.0,0.6193939393939394,0.1890909090909091
raw_scaled,Trojan,Spyware,False,OOD_or_distribution_shift,2,0.5,0.2,0.22
token_bin_offset,Benign                                                                                      ,Ransomware,False,OOD_or_distribution_shift,1,0.0,0.88,0.04
token_bin_offset,Benign                                                                                      ,Spyware,False,mixed_neighbors_ambiguous,3,0.3333333333333333,0.04,0.22666666666666668
token_bin_offset,Benign                                                                                      ,Spyware,False,OOD_or_distribution_shift,1,0.0,0.32,0.12
token_bin_offset,Benign                                                                                      ,Trojan,False,feature_space_overlap_with_pred_class,1,0.0,0.0,0.6
token_bin_offset,Ransomware,Spyware,True,OOD_or_distribution_shift,13,3.3846153846153846,0.3876923076923078,0.41846153846153844
