feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,constant
handles.nkey,train,keep_current,1024,1060,522,502,0.490234375,1024,0.509765625,2.0306513409961684,0.7966202496672807,0.03426060244048127,163,0.31226053639846746,0.0063785305913473846,0.9999573342435362,4.26657564638621e-05,1059,0.5086719989776611,0.28356465697288513,4.26657564638621e-05,263,259,0.49616858237547895,1.963531669865643,33,1,,,,keep_current,keep_current,13,284.0,2668.0,False,True,
handles.nthread,train,keep_current,1024,1149,746,278,0.271484375,1024,0.728515625,1.5402144772117963,0.8879059701383881,0.012522399522143528,180,0.24128686327077747,0.00870381431862787,0.9994240122877378,0.0005759877122621384,546,0.5036655068397522,0.2881649136543274,0.0005759877122621384,371,375,0.5026809651474531,1.3731543624161073,41,1,,,,keep_current,keep_current,14,388.0,2026.0,False,True,
handles.ndirectory,train,discrete_compact_offset0,1024,104,104,920,0.8984375,104,1.0,1.0,0.7041268139226854,0.09985920300366925,21,0.20192307692307693,0.0010026452769007594,0.0,1.0,1,0.0,0.0,1.0,52,52,0.5,1.0,1,1,104.0,4.0,True,discrete_compact_offset0,discrete_compact_offset0,15,,,,,
handles.nsemaphore,train,keep_current,1024,624,624,400,0.390625,624,1.0,1.0,0.8012217111358376,0.038164519156924655,199,0.3189102564102564,0.012949057086782149,0.9999573342435362,4.26657564638621e-05,623,0.5022760033607483,0.29273900389671326,4.26657564638621e-05,309,315,0.5048076923076923,1.6420545746388444,100,1,,,,keep_current,keep_current,16,296.0,1029.0,False,True,
handles.ntimer,train,discrete_compact_offset0,1024,123,123,901,0.8798828125,123,1.0,1.0,0.7453838702633432,0.08565150610120317,30,0.24390243902439024,0.0013866370850755185,0.0,1.0,1,0.0,0.0,1.0,62,61,0.4959349593495935,1.0,1,1,123.0,6.0,True,discrete_compact_offset0,discrete_compact_offset0,17,,,,,
handles.nsection,train,keep_current,1024,612,62,962,0.939453125,612,0.10130718954248366,9.870967741935484,0.6968241013472645,0.16321785135250447,17,0.27419354838709675,0.00040532468640669,0.9999573342435362,4.26657564638621e-05,611,0.530153751373291,0.3050896227359772,4.26657564638621e-05,32,30,0.4838709677419355,16.770491803278688,719,1,,,,keep_current,keep_current,18,50.0,14687.0,False,True,
handles.nmutant,train,keep_current,1024,405,405,619,0.6044921875,405,1.0,1.0,0.8406808847073096,0.0551668231077737,59,0.145679012345679,0.00243194811844014,0.805380151890093,0.19461984810990698,5,0.4082302451133728,0.2871685326099396,0.19461984810990698,202,203,0.5012345679012346,2.532178217821782,63,2,,,,keep_current,keep_current,19,118.0,583.0,False,True,
ldrmodules.not_in_load,train,keep_current,1024,145,145,879,0.8583984375,145,1.0,1.0,0.7895089801002002,0.07080382285177916,29,0.2,0.001599965867394829,0.9999360013653043,6.399863469579316e-05,144,0.5093467235565186,0.2886631488800049,6.399863469579316e-05,71,74,0.5103448275862069,7.104166666666667,102,4,,,,keep_current,keep_current,20,6.0,238.0,False,True,
ldrmodules.not_in_init,train,keep_current,1024,180,180,844,0.82421875,180,1.0,1.0,0.8092464216563752,0.05107091048724294,38,0.2111111111111111,0.0020266234320334498,0.9686406689990613,0.03135933100093865,82,0.5148187875747681,0.3081662654876709,0.03135933100093865,92,88,0.4888888888888889,5.715083798882682,79,4,,,,keep_current,keep_current,21,16.0,262.0,False,True,
ldrmodules.not_in_mem,train,keep_current,1024,145,145,879,0.8583984375,145,1.0,1.0,0.789586786756279,0.07059049406945986,29,0.2,0.001599965867394829,0.9999360013653043,6.399863469579316e-05,144,0.5091197490692139,0.2886137068271637,6.399863469579316e-05,71,74,0.5103448275862069,7.104166666666667,102,4,,,,keep_current,keep_current,22,6.0,238.0,False,True,
