feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,rank_n_unique,rank_old_alias_risk_K_mod_nminus1_eq0,rank_new_uses_K_minus_1,constant,abs_min,abs_max,abs_constant,abs_uses_K_minus_1
handles.ndirectory,train,discrete_compact_offset0,1024,104,104,920,0.8984375,104,1.0,1.0,0.7041268139226854,0.09985920300366925,21,0.20192307692307693,0.0010026452769007594,0.0,1.0,1,0.0,0.0,1.0,52,52,0.5,1.0,1,1,104.0,4.0,True,discrete_compact_offset0,discrete_compact_offset0,15,,,,,,,,
handles.nsemaphore,train,keep_current,1024,624,624,400,0.390625,624,1.0,1.0,0.8012217111358376,0.038164519156924655,199,0.3189102564102564,0.012949057086782149,0.9999573342435362,4.26657564638621e-05,623,0.5022760033607483,0.29273900389671326,4.26657564638621e-05,309,315,0.5048076923076923,1.6420545746388444,100,1,,,,keep_current,keep_current,16,,,,,296.0,1029.0,False,True
handles.ntimer,train,discrete_compact_offset0,1024,123,123,901,0.8798828125,123,1.0,1.0,0.7453838702633432,0.08565150610120317,30,0.24390243902439024,0.0013866370850755185,0.0,1.0,1,0.0,0.0,1.0,62,61,0.4959349593495935,1.0,1,1,123.0,6.0,True,discrete_compact_offset0,discrete_compact_offset0,17,,,,,,,,
handles.nsection,train,keep_current,1024,612,62,962,0.939453125,612,0.10130718954248366,9.870967741935484,0.6968241013472645,0.16321785135250447,17,0.27419354838709675,0.00040532468640669,0.9999573342435362,4.26657564638621e-05,611,0.530153751373291,0.3050896227359772,4.26657564638621e-05,32,30,0.4838709677419355,16.770491803278688,719,1,,,,keep_current,keep_current,18,,,,,50.0,14687.0,False,True
handles.nmutant,train,keep_current,1024,405,405,619,0.6044921875,405,1.0,1.0,0.8406808847073096,0.0551668231077737,59,0.145679012345679,0.00243194811844014,0.805380151890093,0.19461984810990698,5,0.4082302451133728,0.2871685326099396,0.19461984810990698,202,203,0.5012345679012346,2.532178217821782,63,2,,,,keep_current,keep_current,19,,,,,118.0,583.0,False,True
ldrmodules.not_in_load,train,keep_current,1024,145,145,879,0.8583984375,145,1.0,1.0,0.7895089801002002,0.07080382285177916,29,0.2,0.001599965867394829,0.9999360013653043,6.399863469579316e-05,144,0.5093467235565186,0.2886631488800049,6.399863469579316e-05,71,74,0.5103448275862069,7.104166666666667,102,4,,,,keep_current,keep_current,20,,,,,6.0,238.0,False,True
ldrmodules.not_in_init,train,keep_current,1024,180,180,844,0.82421875,180,1.0,1.0,0.8092464216563752,0.05107091048724294,38,0.2111111111111111,0.0020266234320334498,0.9686406689990613,0.03135933100093865,82,0.5148187875747681,0.3081662654876709,0.03135933100093865,92,88,0.4888888888888889,5.715083798882682,79,4,,,,keep_current,keep_current,21,,,,,16.0,262.0,False,True
ldrmodules.not_in_mem,train,keep_current,1024,145,145,879,0.8583984375,145,1.0,1.0,0.789586786756279,0.07059049406945986,29,0.2,0.001599965867394829,0.9999360013653043,6.399863469579316e-05,144,0.5091197490692139,0.2886137068271637,6.399863469579316e-05,71,74,0.5103448275862069,7.104166666666667,102,4,,,,keep_current,keep_current,22,,,,,6.0,238.0,False,True
ldrmodules.not_in_load_avg,train,rank_uniform_offset,1024,15444,1024,0,0.0,1024,1.0,15.08203125,0.9141750322526973,0.018751599965867394,1,0.0009765625,2.133287823193105e-05,0.9999573342435362,4.26657564638621e-05,15443,0.5106834769248962,0.28146353363990784,4.26657564638621e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,23,15444.0,False,True,,,,,
ldrmodules.not_in_init_avg,train,rank_uniform_offset,1024,15577,1024,0,0.0,1024,1.0,15.2119140625,0.9258716464642752,0.019050260261114428,1,0.0009765625,2.133287823193105e-05,0.9989546889666354,0.0010453110333646216,472,0.4982173442840576,0.2843931317329407,0.0010453110333646216,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,24,15577.0,False,True,,,,,
ldrmodules.not_in_mem_avg,train,rank_uniform_offset,1024,15444,1024,0,0.0,1024,1.0,15.08203125,0.9151223037618169,0.018751599965867394,1,0.0009765625,2.133287823193105e-05,0.9999573342435362,4.26657564638621e-05,15443,0.5184676051139832,0.27431008219718933,4.26657564638621e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,25,15444.0,False,True,,,,,
malfind.ninjections,train,discrete_compact_offset0,1024,111,111,913,0.8916015625,111,1.0,1.0,0.414439567232933,0.4242896151548767,49,0.44144144144144143,0.002367949483744347,0.0,1.0,1,0.0,0.0,1.0,56,55,0.4954954954954955,1.0,1,1,111.0,13.0,True,discrete_compact_offset0,discrete_compact_offset0,26,,,,,,,,
malfind.commitCharge,train,keep_current,1024,488,121,903,0.8818359375,488,0.24795081967213115,4.033057851239669,0.06114704583331559,0.9515956992917485,88,0.7272727272727273,0.004586568819865176,0.9893762266404983,0.010623773359501664,487,0.06875729560852051,0.177344411611557,0.010623773359501664,68,53,0.4380165289256198,8.525,87,1,,,,keep_current,keep_current,27,,,,,1.0,220850.0,False,True
malfind.protection,train,keep_current,1024,203,123,901,0.8798828125,203,0.6059113300492611,1.6504065040650406,0.4332614072738257,0.4177617544159058,50,0.4065040650406504,0.00243194811844014,0.9897175526922092,0.010282447307790767,201,0.4719848036766052,0.27384886145591736,0.010282447307790767,59,64,0.5203252032520326,8.385245901639344,163,1,,,,keep_current,keep_current,28,,,,,6.0,3762.0,False,True
