run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct
K1024_ABS_CONTROL,Ransomware,Trojan,240,16,handles.nsemaphore,unknown,419.15833333333336,450.22482269503547,440.9985007496252,31.06648936170211,21.84016741629182,True,0.5205547931526477,0.4948051822246283,0.509493547377932,0.025749610928019417,0.011061245774715789,True,0.41024330258369446,0.440586119890213,0.43158161640167236,0.030342817306518555,0.021338313817977905,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,19,handles.nmutant,unknown,273.21666666666664,294.5418439716312,291.5344827586207,21.32517730496454,18.317816091954057,True,0.42666667606681585,0.44382979595069344,0.4256371897177539,0.017163119883877587,0.00102948634906197,True,0.26749101281166077,0.2883535325527191,0.285396009683609,0.02086251974105835,0.017904996871948242,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,5,dlllist.ndlls,unknown,318.87083333333334,336.2304964539007,331.67316341829087,17.359663120567348,12.802330084957532,True,0.5127676686194415,0.47827727736092784,0.5099118651710157,0.03449039125851361,0.002855803448425731,True,0.31220293045043945,0.3291385769844055,0.32471463084220886,0.016935646533966064,0.01251170039176941,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,39,psxview.not_in_ethread_pool_false_avg,unknown,44.37916666666667,60.47304964539007,52.23913043478261,16.0938829787234,7.859963768115939,True,0.24940136985387654,0.33184382516877553,0.29986369195345347,0.082442455314899,0.050462322099576934,True,0.04362518712878227,0.0594378225505352,0.05135776847600937,0.01581263542175293,0.0077325813472270966,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,43,psxview.not_in_deskthrd_false_avg,unknown,174.52083333333334,188.81489361702128,180.0247376311844,14.29406028368794,5.503904297851051,True,0.6630009405625363,0.6054416371819874,0.6223049452898374,0.05755930338054893,0.04069599527269896,True,0.17124518752098083,0.18516162037849426,0.17658556997776031,0.013916432857513428,0.00534038245677948,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,29,malfind.uniqueInjections,unknown,2.2083333333333335,16.387234042553192,4.016491754122939,14.178900709219858,1.808158420789605,True,0.07031963632131616,0.10625831880540659,0.12040783223071913,0.035938682484090434,0.05008819590940297,False,0.002227422082796693,0.016122670844197273,0.004043890163302422,0.01389524876140058,0.0018164680805057287,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,14,handles.nthread,unknown,197.52083333333334,211.08297872340427,205.78035982008996,13.562145390070924,8.259526486756613,True,0.5292811368984985,0.5322682054624199,0.5245371826356618,0.002987068563921391,0.0047439542628366915,False,0.19359737634658813,0.20685751736164093,0.20166656374931335,0.013260141015052795,0.00806918740272522,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,11,handles.nevent,unknown,272.4125,285.20851063829787,283.876311844078,12.796010638297844,11.463811844077952,True,0.495201052321742,0.5078639836002683,0.5051817853344783,0.012662931278526302,0.009980733012736331,True,0.26677194237709045,0.27929264307022095,0.2779877781867981,0.012520700693130493,0.011215835809707642,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,41,psxview.not_in_csrss_handles_false_avg,unknown,135.04583333333332,146.45531914893618,139.80284857571215,11.409485815602864,4.757015242378827,True,0.5288275993739565,0.5331815113874931,0.5382985672641216,0.004353912013536632,0.009470967890165105,False,0.13252654671669006,0.1436837762594223,0.13718587160110474,0.011157229542732239,0.004659324884414673,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,37,psxview.not_in_pslist_false_avg,unknown,59.82083333333333,70.91418439716313,74.92278860569715,11.093351063829793,15.101955272363817,False,0.24217430433879297,0.25743284362718355,0.27306734719432363,0.015258539288390577,0.030893042855530656,False,0.05871261656284332,0.06957147270441055,0.07350523769855499,0.01085885614156723,0.01479262113571167,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,28,malfind.protection,unknown,5.029166666666667,15.965248226950354,6.592953523238381,10.936081560283688,1.5637868565717143,True,0.42492677544554075,0.39862573650361743,0.405622659413063,0.026301038941923316,0.019304116032477725,True,0.00533146969974041,0.015995966270565987,0.006841227877885103,0.010664496570825577,0.0015097581781446934,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,13,handles.nkey,unknown,158.77083333333334,167.83829787234043,165.70764617691154,9.06746453900709,6.9368128435781955,True,0.5258004715510954,0.5240611156111861,0.5087521236859027,0.0017393559399093705,0.017048347865192715,False,0.1557151824235916,0.16457708179950714,0.16247937083244324,0.008861899375915527,0.0067641884088516235,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,2,pslist.avg_threads,unknown,565.8291666666667,557.3056737588653,563.4160419790105,8.52349290780137,2.4131246876561363,True,0.4627218893486618,0.49275222191279955,0.49183941452580365,0.03003033256413773,0.029117525177141834,True,0.5535600185394287,0.5452575087547302,0.5512295961380005,0.008302509784698486,0.0023304224014282227,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,7,handles.nhandles,unknown,105.5875,113.43049645390072,110.85157421289355,7.84299645390071,5.264074212893547,True,0.5003598055103794,0.5031726312320779,0.4990076132441942,0.0028128257216984975,0.0013521922661852148,True,0.10370269417762756,0.11137211322784424,0.10884709656238556,0.007669419050216675,0.005144402384757996,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,27,malfind.commitCharge,unknown,2.5416666666666665,10.23404255319149,5.4122938530734634,7.6923758865248235,2.870627186406797,True,0.030667710705893116,0.1129304110201353,0.05479331781830767,0.08226270031424218,0.024125607112414557,True,0.0025145006366074085,0.010114342905580997,0.005344171542674303,0.007599842268973589,0.0028296709060668945,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,42,psxview.not_in_session_false_avg,unknown,131.8,138.7822695035461,144.00524737631184,6.982269503546092,12.205247376311831,False,0.5463431041687727,0.5923344432818869,0.5844588084614136,0.04599133911311415,0.038115704292640884,True,0.1293708086013794,0.13624106347560883,0.14133891463279724,0.006870254874229431,0.011968106031417847,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,26,malfind.ninjections,unknown,3.1708333333333334,8.54113475177305,3.8830584707646176,5.370301418439717,0.7122251374312842,True,0.0,0.0,0.0,0.0,0.0,False,0.00533146969974041,0.015995966270565987,0.006841227877885103,0.010664496570825577,0.0015097581781446934,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,21,ldrmodules.not_in_init,unknown,282.85833333333335,287.22836879432623,287.49550224887554,4.370035460992881,4.6371689155421905,False,0.5979166670702398,0.5571094929987023,0.5657658965886756,0.040807174071537555,0.03215077048156423,True,0.2770833373069763,0.2813152074813843,0.28158479928970337,0.004231870174407959,0.004501461982727051,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,6,dlllist.avg_dlls_per_proc,unknown,691.7625,688.4482269503546,696.9940029985007,3.314273049645408,5.231502998500673,False,0.5208690936143587,0.48939231752553386,0.49159702501667113,0.031476776088824876,0.029272068597687606,True,0.6767187714576721,0.6734483242034912,0.6818041205406189,0.003270447254180908,0.005085349082946777,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,17,handles.ntimer,unknown,32.983333333333334,36.2822695035461,35.912293853073464,3.2989361702127624,2.92896051974013,True,0.0,0.0,0.0,0.0,0.0,False,0.3070806562900543,0.3286422789096832,0.32622411847114563,0.021561622619628906,0.01914346218109131,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,8,handles.avg_handles_per_proc,unknown,126.125,129.39290780141843,128.00374812593702,3.2679078014184313,1.8787481259370225,True,0.4888598136516521,0.5068310354101465,0.49490472019921966,0.017971221758494416,0.006044906547567563,True,0.12376721203327179,0.12697921693325043,0.1256096363067627,0.0032120048999786377,0.0018424242734909058,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,40,psxview.not_in_pspcid_list_false_avg,unknown,36.49166666666667,39.5886524822695,41.13268365817091,3.096985815602835,4.6410169915042445,False,0.3012413729902511,0.3050232150651486,0.32144203615755057,0.0037818420748975123,0.02020066316729946,False,0.035965695977211,0.038996752351522446,0.040522120893001556,0.003031056374311447,0.004556424915790558,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,15,handles.ndirectory,unknown,38.833333333333336,41.47375886524823,41.10269865067466,2.640425531914893,2.2693653173413253,True,0.0,0.0,0.0,0.0,0.0,False,0.1613965630531311,0.17183303833007812,0.17036639153957367,0.010436475276947021,0.008969828486442566,True
K1024_ABS_CONTROL,Ransomware,Trojan,240,10,handles.nfile,unknown,10.108333333333333,12.656028368794326,9.158920539730135,2.5476950354609933,0.949412793603198,True,0.3841856957267737,0.46771967650179797,0.4384984764821319,0.08353398077502427,0.054312780755358225,True,0.010256617330014706,0.012828689068555832,0.009381640702486038,0.0025720717385411263,0.0008749766275286674,True
