run,true_class,pred_class,strategy,n_features,pair_n,bin_closer_to_pred_count,bin_closer_to_pred_ratio,dist_bin_to_true_correct_mean,dist_bin_to_pred_correct_mean,dist_offset_to_true_correct_mean,dist_offset_to_pred_correct_mean,raw_closer_to_pred_count,raw_closer_to_pred_ratio,dist_raw_to_true_correct_mean,dist_raw_to_pred_correct_mean
C2_K512,Ransomware,Spyware,constant,3,287,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C2_K512,Ransomware,Spyware,discrete_compact_offset0,23,287,18,0.782608695652174,0.38303720215551706,0.2242383651506832,0.0,0.0,15,0.6521739130434783,0.00439046254462522,0.0028828450620336375
C2_K512,Ransomware,Spyware,keep_current,14,287,10,0.7142857142857143,7.446478940008061,4.531376273355564,0.0156562246118142,0.013159890701700604,10,0.7142857142857143,0.007594634113567216,0.00473524713223534
C2_K512,Ransomware,Spyware,rank_uniform_offset,15,287,10,0.6666666666666666,13.859713511420829,8.091067777020415,0.019604556220306043,0.019073335412617784,8,0.5333333333333333,0.008638131245970727,0.006056485821803411
C2_K512,Ransomware,Trojan,constant,3,202,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C2_K512,Ransomware,Trojan,discrete_compact_offset0,23,202,15,0.6521739130434783,1.1722292016246876,0.8404464901783253,0.0,0.0,15,0.6521739130434783,0.008856903599656147,0.007895838428774605
C2_K512,Ransomware,Trojan,keep_current,14,202,11,0.7857142857142857,18.32867197798497,12.957194925542717,0.038370854639601944,0.03167988416527176,11,0.7857142857142857,0.013373134732579015,0.011613627454997706
C2_K512,Ransomware,Trojan,rank_uniform_offset,15,202,10,0.6666666666666666,27.226988168204578,24.867410297925048,0.0343554669377345,0.03583862652327311,7,0.4666666666666667,0.010243361792527139,0.008458756228598456
C2_K512,Spyware,Ransomware,constant,3,161,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C2_K512,Spyware,Ransomware,discrete_compact_offset0,23,161,14,0.6086956521739131,0.38731313384537003,0.22803389786916603,0.0,0.0,17,0.7391304347826086,0.004761576095757925,0.0029791878212405286
C2_K512,Spyware,Ransomware,keep_current,14,161,7,0.5,2.959730561356563,4.108868889170576,0.023794011433331284,0.02381997180601949,7,0.5,0.0028157770034990142,0.0046910239782716546
C2_K512,Spyware,Ransomware,rank_uniform_offset,15,161,6,0.4,7.326343051352297,9.538262841368434,0.02660815997977407,0.01973360552303918,14,0.9333333333333333,0.009148036564389865,0.003906516234079996
C2_K512,Spyware,Trojan,constant,3,196,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
