run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct,bin_pred_minus_true_distance_advantage,raw_pred_minus_true_distance_advantage
C2_K512,Trojan,Ransomware,361,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,299.0581717451524,267.0941974378297,271.81632653061223,31.9639743073227,27.24184521454015,True,0.5054710067662223,0.5561997474933755,0.5451620787252247,0.050728740727153276,0.039691071959002455,True,0.19282066822052002,0.17703381180763245,0.18639187514781952,0.015786856412887573,0.0064287930727005005,True,4.722129092782552,0.009358063340187073
C2_K512,Trojan,Ransomware,361,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,217.6094182825485,178.27581009796535,190.9687074829932,39.33360818458314,26.64071079955528,True,0.4327890497640064,0.35867567034613707,0.38633293639488364,0.07411337941786933,0.04645611336912275,True,0.06770191341638565,0.052409157156944275,0.061025623232126236,0.015292756259441376,0.006676290184259415,True,12.692897385027862,0.008616466075181961
C2_K512,Trojan,Ransomware,361,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,280.5401662049861,241.61793519216278,248.94557823129253,38.922231012823346,31.594587973693592,True,0.5486054760803807,0.5438820776089566,0.5298533151952588,0.004723398471424112,0.018752160885121882,False,0.15386459231376648,0.137555330991745,0.14482691884040833,0.016309261322021484,0.009037673473358154,True,7.327643039129754,0.00727158784866333
C2_K512,Trojan,Ransomware,361,52,callbacks.ncallbacks,discrete_compact_offset0,9.476454293628809,9.553880934438583,9.434013605442177,0.07742664080977413,0.04244068818663216,True,0.0,0.0,0.0,0.0,0.0,False,0.9199517369270325,0.9346705079078674,0.9106576442718506,0.014718770980834961,0.009294092655181885,True,0.03498595262314197,0.005424678325653076
C2_K512,Trojan,Ransomware,361,48,svcscan.process_services,discrete_compact_offset0,9.894736842105264,9.953278070836474,9.9,0.05854122873120993,0.005263157894736636,True,0.0,0.0,0.0,0.0,0.0,False,0.8447368741035461,0.8476638793945312,0.8450000286102295,0.0029270052909851074,0.0002631545066833496,True,0.05327807083647329,0.002663850784301758
C2_K512,Trojan,Ransomware,361,21,ldrmodules.not_in_init,keep_current,139.73130193905817,144.37678975131877,143.11156462585035,4.645487812260598,3.380262686792179,True,0.4653518027122909,0.456338299226406,0.4925280343411731,0.009013503485884866,0.02717623162888222,False,0.27382156252861023,0.2828771770000458,0.28047671914100647,0.009055614471435547,0.00665515661239624,True,1.2652251254684188,0.0024004578590393066
C2_K512,Trojan,Ransomware,361,32,psxview.not_in_ethread_pool,discrete_compact_offset0,2.518005540166205,1.9404672192916352,2.4938775510204083,0.5775383208745699,0.024127989145796835,True,0.0,0.0,0.0,0.0,0.0,False,0.012541171163320541,0.00965406559407711,0.01309439167380333,0.002887105569243431,0.0005532205104827881,True,0.5534103317287731,0.002333885058760643
C2_K512,Trojan,Ransomware,361,22,ldrmodules.not_in_mem,keep_current,86.19113573407202,88.90881688018086,87.7734693877551,2.717681146108845,1.5823336536830794,True,0.4585917695242282,0.5095759003472984,0.4663616454469509,0.050984130823070184,0.007769875922722713,True,0.16923774778842926,0.1746452897787094,0.1723434180021286,0.005407541990280151,0.003105670213699341,True,1.1353474924257654,0.0023018717765808105
C2_K512,Trojan,Ransomware,361,34,psxview.not_in_csrss_handles,discrete_compact_offset0,2.518005540166205,1.9427279577995478,2.498639455782313,0.5752775823666574,0.01936608438389209,True,0.0,0.0,0.0,0.0,0.0,False,0.012541171163320541,0.009665313176810741,0.013118083588778973,0.0028758579865098,0.0005769124254584312,True,0.5559114979827653,0.0022989455610513687
C2_K512,Trojan,Ransomware,361,20,ldrmodules.not_in_load,keep_current,86.19113573407202,88.89299171062547,87.75986394557823,2.7018559765534462,1.5687282115062118,True,0.4585917695242282,0.5087703607987666,0.46645547900678347,0.05017859127453839,0.00786370948255527,True,0.16923774778842926,0.17461282014846802,0.1723170280456543,0.005375072360038757,0.0030792802572250366,True,1.1331277650472344,0.0022957921028137207
C2_K512,Trojan,Ransomware,361,36,psxview.not_in_deskthrd,discrete_compact_offset0,4.545706371191136,4.0,4.6748299319727895,0.5457063711911356,0.12912356078165388,True,0.0,0.0,0.0,0.0,0.0,False,0.022392643615603447,0.019704431295394897,0.023685533553361893,0.0026882123202085495,0.0012928899377584457,True,0.41658281040948175,0.0013953223824501038
C2_K512,Trojan,Ransomware,361,49,svcscan.shared_process_services,discrete_compact_offset0,18.83656509695291,18.91785983421251,18.829931972789115,0.08129473725960068,0.00663312416379469,True,0.0,0.0,0.0,0.0,0.0,False,0.9760026931762695,0.9772534370422363,0.9756137728691101,0.0012507438659667969,0.00038892030715942383,True,0.07466161309580599,0.000861823558807373
C2_K512,Trojan,Ransomware,361,44,modules.nmodules,discrete_compact_offset0,1.9473684210526316,1.9675960813865863,1.9612244897959183,0.020227660333954622,0.013856068743286709,True,0.0,0.0,0.0,0.0,0.0,False,0.9956139922142029,0.9972997307777405,0.9967687129974365,0.0016857385635375977,0.0011547207832336426,True,0.006371591590667913,0.0005310177803039551
C2_K512,Trojan,Ransomware,361,45,svcscan.nservices,discrete_compact_offset0,22.700831024930746,22.842501883948756,22.722448979591835,0.14167085901801002,0.021617954661088845,True,0.0,0.0,0.0,0.0,0.0,False,0.9785847663879395,0.9794730544090271,0.9778199195861816,0.0008882880210876465,0.0007648468017578125,True,0.12005290435692118,0.00012344121932983398
C2_K512,Trojan,Ransomware,361,23,ldrmodules.not_in_load_avg,rank_uniform_offset,82.2409972299169,87.91183119819141,80.56190476190476,5.670833968274508,1.6790924680121435,True,0.510448706835035,0.5117886017038773,0.48661238551987207,0.0013398948688423395,0.02383632131516289,False,0.026278866454958916,0.02565506286919117,0.026805296540260315,0.000623803585767746,0.0005264300853013992,True,3.991741500262364,9.737350046634674e-05
C2_K512,Trojan,Ransomware,361,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,82.17451523545706,87.98568198944989,80.59319727891156,5.811166753992822,1.5813179565455044,True,0.5328475823264744,0.5219915264652191,0.5115285367373105,0.010856055861255376,0.021319045589163976,False,0.026278866454958916,0.025663843378424644,0.026823237538337708,0.0006150230765342712,0.0005443710833787918,True,4.229848797447318,7.065199315547943e-05
C2_K512,Trojan,Ransomware,361,9,handles.nport,constant,0.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
C2_K512,Trojan,Ransomware,361,50,svcscan.interactive_process_services,constant,0.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
C2_K512,Trojan,Ransomware,361,3,pslist.nprocs64bit,constant,0.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
C2_K512,Trojan,Ransomware,361,33,psxview.not_in_pspcid_list,discrete_compact_offset0,2.365650969529086,1.8146194423511681,1.8068027210884354,0.5510315271779178,0.5588482484406505,False,0.0,0.0,0.0,0.0,0.0,False,0.055015143007040024,0.04220045357942581,0.0420503094792366,0.012814689427614212,0.012964833527803421,False,-0.007816721262732695,-0.00015014410018920898
C2_K512,Trojan,Ransomware,361,4,pslist.avg_handlers,rank_uniform_offset,75.4376731301939,71.78598342125095,70.39795918367346,3.6516897089429534,5.039713946520436,False,0.4755116875381454,0.4970766835251736,0.5034238206495081,0.021564995987028213,0.027912133111362702,False,0.1523696780204773,0.15270428359508514,0.15184791386127472,0.0003346055746078491,0.0005217641592025757,False,-1.3880242375774827,-0.00018715858459472656
C2_K512,Trojan,Ransomware,361,11,handles.nevent,keep_current,122.83656509695291,137.6345139412208,142.3734693877551,14.797948844267893,19.536904290802198,False,0.16447613673630349,0.20012027223277964,0.20196047383328888,0.03564413549647616,0.0374843370969854,False,0.27411705255508423,0.27970945835113525,0.27990230917930603,0.005592405796051025,0.005785256624221802,False,-4.738955446534305,-0.00019285082817077637
C2_K512,Trojan,Ransomware,361,38,psxview.not_in_eprocess_pool_false_avg,keep_current,0.0,0.8334589299171062,1.0020408163265306,0.8334589299171062,1.0020408163265306,False,0.0,0.0018752665113666135,0.0017341909968123144,0.0018752665113666135,0.0017341909968123144,True,0.0,0.0011930654291063547,0.0014367112889885902,0.0011930654291063547,0.0014367112889885902,False,-0.1685818864094244,-0.00024364585988223553
