run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct,bin_pred_minus_true_distance_advantage
C2_K512,Trojan,Ransomware,361,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,217.6094182825485,178.27581009796535,190.9687074829932,39.33360818458314,26.64071079955528,True,0.4327890497640064,0.35867567034613707,0.38633293639488364,0.07411337941786933,0.04645611336912275,True,0.06770191341638565,0.052409157156944275,0.061025623232126236,0.015292756259441376,0.006676290184259415,True,12.692897385027862
C2_K512,Trojan,Ransomware,361,24,ldrmodules.not_in_init_avg,rank_uniform_offset,168.8393351800554,184.22004521477015,165.53809523809525,15.380710034714753,3.301239941960148,True,0.5213089010412508,0.5224016960910307,0.524844858283573,0.0010927950497798822,0.003535957242322141,False,0.025386599823832512,0.02488120086491108,0.026580508798360825,0.0005053989589214325,0.0011939089745283127,False,12.079470092754605
C2_K512,Trojan,Ransomware,361,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,280.5401662049861,241.61793519216278,248.94557823129253,38.922231012823346,31.594587973693592,True,0.5486054760803807,0.5438820776089566,0.5298533151952588,0.004723398471424112,0.018752160885121882,False,0.15386459231376648,0.137555330991745,0.14482691884040833,0.016309261322021484,0.009037673473358154,True,7.327643039129754
C2_K512,Trojan,Ransomware,361,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,299.0581717451524,267.0941974378297,271.81632653061223,31.9639743073227,27.24184521454015,True,0.5054710067662223,0.5561997474933755,0.5451620787252247,0.050728740727153276,0.039691071959002455,True,0.19282066822052002,0.17703381180763245,0.18639187514781952,0.015786856412887573,0.0064287930727005005,True,4.722129092782552
C2_K512,Trojan,Ransomware,361,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,82.17451523545706,87.98568198944989,80.59319727891156,5.811166753992822,1.5813179565455044,True,0.5328475823264744,0.5219915264652191,0.5115285367373105,0.010856055861255376,0.021319045589163976,False,0.026278866454958916,0.025663843378424644,0.026823237538337708,0.0006150230765342712,0.0005443710833787918,True,4.229848797447318
C2_K512,Trojan,Ransomware,361,23,ldrmodules.not_in_load_avg,rank_uniform_offset,82.2409972299169,87.91183119819141,80.56190476190476,5.670833968274508,1.6790924680121435,True,0.510448706835035,0.5117886017038773,0.48661238551987207,0.0013398948688423395,0.02383632131516289,False,0.026278866454958916,0.02565506286919117,0.026805296540260315,0.000623803585767746,0.0005264300853013992,True,3.991741500262364
C2_K512,Trojan,Ransomware,361,8,handles.avg_handles_per_proc,rank_uniform_offset,67.46260387811634,63.623963828183875,66.49047619047619,3.838640049932465,0.9721276876401532,True,0.5006909346732974,0.511399379727817,0.5040338573625729,0.010708445054519622,0.003342922689275496,True,0.125332772731781,0.12554416060447693,0.12677793204784393,0.00021138787269592285,0.0014451593160629272,False,2.866512362292312
C2_K512,Trojan,Ransomware,361,2,pslist.avg_threads,rank_uniform_offset,33.13850415512465,24.361718161266012,26.484353741496598,8.776785993858638,6.654150413628052,True,0.5000281803325396,0.499616867911638,0.5015510635710635,0.00041131242090158837,0.0015228832385238977,False,0.559668242931366,0.5505087971687317,0.544914960861206,0.009159445762634277,0.014753282070159912,False,2.122635580230586
C2_K512,Trojan,Ransomware,361,21,ldrmodules.not_in_init,keep_current,139.73130193905817,144.37678975131877,143.11156462585035,4.645487812260598,3.380262686792179,True,0.4653518027122909,0.456338299226406,0.4925280343411731,0.009013503485884866,0.02717623162888222,False,0.27382156252861023,0.2828771770000458,0.28047671914100647,0.009055614471435547,0.00665515661239624,True,1.2652251254684188
C2_K512,Trojan,Ransomware,361,22,ldrmodules.not_in_mem,keep_current,86.19113573407202,88.90881688018086,87.7734693877551,2.717681146108845,1.5823336536830794,True,0.4585917695242282,0.5095759003472984,0.4663616454469509,0.050984130823070184,0.007769875922722713,True,0.16923774778842926,0.1746452897787094,0.1723434180021286,0.005407541990280151,0.003105670213699341,True,1.1353474924257654
