run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct
K1024_ABS_CONTROL,Trojan,Spyware,210,37,psxview.not_in_pslist_false_avg,unknown,117.51904761904763,74.92278860569715,97.67684478371501,42.596259013350476,19.842202835332614,True,0.3993704785193716,0.27306734719432363,0.27283059257265113,0.12630313132504795,0.12653988594672044,False,0.11526726931333542,0.07350523769855499,0.09574748575687408,0.041762031614780426,0.019519783556461334,True
K1024_ABS_CONTROL,Trojan,Spyware,210,42,psxview.not_in_session_false_avg,unknown,183.4904761904762,144.00524737631184,167.50954198473283,39.485228814164344,15.980934205743353,True,0.46488001415772096,0.5844588084614136,0.571580909129763,0.11957879430369267,0.10670089497204205,True,0.1798195093870163,0.14133891463279724,0.16430217027664185,0.038480594754219055,0.01551733911037445,True
K1024_ABS_CONTROL,Trojan,Spyware,210,39,psxview.not_in_ethread_pool_false_avg,unknown,83.7,52.23913043478261,74.23600508905852,31.460869565217394,9.46399491094148,True,0.3871769349046406,0.29986369195345347,0.30767068175750645,0.08731324295118714,0.07950625314713416,True,0.0821966603398323,0.05135776847600937,0.07286771386861801,0.030838891863822937,0.009328946471214294,True
K1024_ABS_CONTROL,Trojan,Spyware,210,41,psxview.not_in_csrss_handles_false_avg,unknown,168.73333333333332,139.80284857571215,164.1412213740458,28.930484757621173,4.592111959287507,True,0.5778552326684196,0.5382985672641216,0.528442569085013,0.03955666540429803,0.04941266358340668,False,0.1655046045780182,0.13718587160110474,0.1609674096107483,0.028318732976913452,0.0045371949672698975,True
K1024_ABS_CONTROL,Trojan,Spyware,210,43,psxview.not_in_deskthrd_false_avg,unknown,207.28571428571428,180.0247376311844,200.23664122137404,27.260976654529884,7.049073064340234,True,0.6016281210817397,0.6223049452898374,0.6044893786328923,0.02067682420809769,0.0028612575511526295,True,0.2032134234905243,0.17658556997776031,0.1963256299495697,0.026627853512763977,0.00688779354095459,True
K1024_ABS_CONTROL,Trojan,Spyware,210,40,psxview.not_in_pspcid_list_false_avg,unknown,64.63333333333334,41.13268365817091,53.69083969465649,23.50064967516243,10.94249363867685,True,0.3729740444735578,0.32144203615755057,0.2999847256149918,0.05153200831600724,0.07298931885856602,False,0.06354478001594543,0.040522120893001556,0.05277695879340172,0.023022659122943878,0.010767821222543716,True
K1024_ABS_CONTROL,Trojan,Spyware,210,14,handles.nthread,unknown,219.1809523809524,205.78035982008996,207.20801526717557,13.400592560862435,11.972937113776823,True,0.5062009439415609,0.5245371826356618,0.5217671450137892,0.018336238694100948,0.01556620107222828,True,0.21474795043468475,0.20166656374931335,0.20305941998958588,0.013081386685371399,0.011688530445098877,True
K1024_ABS_CONTROL,Trojan,Spyware,210,2,pslist.avg_threads,unknown,576.1666666666666,563.4160419790105,580.5610687022901,12.750624687656114,4.394402035623443,True,0.5206565604589525,0.49183941452580365,0.5024718341042,0.028817145933148824,0.018184726354752434,True,0.5637217164039612,0.5512295961380005,0.567999541759491,0.012492120265960693,0.004277825355529785,True
K1024_ABS_CONTROL,Trojan,Spyware,210,19,handles.nmutant,unknown,301.3952380952381,291.5344827586207,289.8104325699746,9.860755336617387,11.584805525263505,False,0.3819047692985762,0.4256371897177539,0.41743003348547386,0.04373242041917769,0.035525264186897665,True,0.2949922978878021,0.285396009683609,0.28370267152786255,0.009596288204193115,0.011289626359939575,False
K1024_ABS_CONTROL,Trojan,Spyware,210,16,handles.nsemaphore,unknown,447.5952380952381,440.9985007496252,435.38613231552165,6.596737345612894,12.209105779716424,False,0.48979406724905683,0.509493547377932,0.5294347925742012,0.019699480128875124,0.0396407253251444,False,0.4380107820034027,0.43158161640167236,0.42611491680145264,0.006429165601730347,0.011895865201950073,False
