epoch,lr,epoch_seconds,train_step_loss,train_loss,train_acc,train_macro_f1,train_weighted_f1,train_malware_avg_f1,val_loss,val_acc,val_macro_f1,val_weighted_f1,val_malware_avg_f1,macro_f1_gap_train_minus_val,cont_gate_min,cont_gate_max,cont_gate_mean,cont_gate_std
1,0.000125,10.341,0.8911801034532032,0.7290612264179576,0.7598344568649202,0.6360810646160558,0.7547924869396271,0.5174378781739328,0.7334636352981724,0.7561433447098976,0.63129262446621,0.7511952337286252,0.5113905945876085,0.004788440149845807,0.49612438678741455,0.5015074014663696,0.499244749546051,0.001170088304206729
2,0.00025,9.73,0.6969484301931328,0.6246950540875034,0.8121426742896152,0.7118839390188179,0.8080022694685379,0.6162008606848727,0.6372426344266117,0.8046075085324232,0.7013703289037718,0.8006380183319212,0.6024526027599023,0.010513610115046035,0.4895022511482239,0.5022958517074585,0.49811050295829773,0.0023616128601133823
3,0.000375,9.979,0.6370792328085607,0.5762519791515037,0.8327929004181244,0.747675264072098,0.8317647728073175,0.6639932943926196,0.6033329543400137,0.8234641638225256,0.734593018738693,0.8225299304309053,0.646947490924669,0.013082245333404963,0.48256373405456543,0.5021749138832092,0.4966226816177368,0.0034235611092299223
4,0.0005,10.102,0.6067044504221434,0.5581688929238878,0.8361634951787695,0.7553518018389669,0.8371496140690925,0.6739091009859178,0.5907014747528493,0.8247440273037543,0.7384781472873263,0.8255688377240582,0.6516172923327787,0.016873654551640582,0.47832414507865906,0.5020723938941956,0.4947030544281006,0.004564536269754171
5,0.000625,10.271,0.5810370775190308,0.5580880177876518,0.8328142332963564,0.7399977329238825,0.8274522883772318,0.6534938870585235,0.5914694618853286,0.8191979522184301,0.7207849605119083,0.8142519562087166,0.6281969084598481,0.019212772411974166,0.4759054183959961,0.5037357211112976,0.4928930699825287,0.005843779072165489
6,0.00075,10.223,0.56719418381839,0.5374535067169544,0.8430540148476833,0.7648933535008762,0.8433544752204243,0.6867877734273974,0.5846700206551535,0.8273037542662116,0.7418895937205512,0.8277390806851811,0.6563083206104331,0.023003759780324984,0.4691130816936493,0.506749153137207,0.49023547768592834,0.007315539289265871
7,0.000875,10.355,0.5536353499045682,0.519117785411561,0.852120488096254,0.7745933699623214,0.8501438546805782,0.6996284896422841,0.5797955510559343,0.8396757679180887,0.7573554910614528,0.8383130546759052,0.6769004273143465,0.017237878900868586,0.4583931863307953,0.5068860054016113,0.48699769377708435,0.008892156183719635
8,0.001,10.524,0.5432749691905905,0.4965771011793936,0.8585630173222971,0.7871063974898374,0.8583297642205779,0.7162841249959101,0.5653839124347569,0.8393344709897611,0.7589712228445585,0.8391968414548471,0.6790266128197162,0.028135174645278815,0.4480680823326111,0.5069077014923096,0.4838789105415344,0.01061631366610527
9,0.0009995479052513825,10.237,0.5342974795325949,0.48860147741123905,0.8619549449611742,0.7912043671002359,0.8610809750191696,0.7217338473810341,0.5638135996694857,0.836518771331058,0.7537432916321015,0.8358798729077173,0.6719707646645386,0.037461075468134375,0.4408278167247772,0.508490264415741,0.4808928370475769,0.011768425814807415
10,0.0009981924815935792,10.279,0.5171818428808984,0.4815844466574557,0.8608029695366499,0.7879369347723082,0.8589596113361113,0.7174698131485658,0.5652307301251148,0.8418941979522184,0.7602974396026453,0.8403982838870521,0.6807096286252636,0.02763949516966291,0.42990821599960327,0.51676344871521,0.47881513833999634,0.014148818328976631
11,0.00099593630915256,10.155,0.5068504241497731,0.46262220498573375,0.8675441590579401,0.7998054996116706,0.866723266668953,0.7333230690295615,0.5409523104238022,0.8430034129692833,0.7639995655556219,0.8424571879830757,0.6859309935408748,0.035805934056048705,0.43441614508628845,0.5142490267753601,0.4766407907009125,0.014927558600902557
12,0.000992783682680799,10.273,0.48598430856867797,0.46997784635945183,0.8624029354040447,0.7915872158266516,0.8614289631738722,0.7222727956511749,0.5767843798565783,0.837457337883959,0.7548365102227079,0.8367063388578887,0.6734569937008844,0.03675070560394367,0.42326587438583374,0.5156019926071167,0.475240021944046,0.016057133674621582
13,0.0009887406033819684,10.141,0.4764749990387249,0.42527924764786007,0.8798745626759963,0.8178249554516351,0.8788826876228322,0.7571924008265029,0.5351391217000655,0.8465017064846416,0.768078240832008,0.8455534894154927,0.6909986356048196,0.0497467146196271,0.42832762002944946,0.5186195373535156,0.4731656014919281,0.017025964334607124
14,0.0009838147674873074,10.255,0.46374315542210004,0.4161192512428794,0.8814318627869272,0.8221094923446857,0.8816303392322642,0.7629407028977558,0.5438573679419507,0.8481228668941979,0.7726841154561515,0.8485611350992286,0.697139840644632,0.04942537688853421,0.42463231086730957,0.513092577457428,0.47096893191337585,0.017706550657749176
15,0.0009780155516054079,10.331,0.453011961421296,0.4167025894758207,0.8797465654066047,0.8175018838186694,0.8786987462803687,0.7567260733825769,0.5471863407323792,0.8476109215017065,0.7697923837837489,0.8467718147053038,0.6931987794595668,0.04770950003492047,0.4192334711551666,0.5130763649940491,0.4696516692638397,0.019505299627780914
16,0.0009713539948733066,10.217,0.4406087761477039,0.4183222335936602,0.8810478709787525,0.8201374305189691,0.880397185660427,0.7603183287480416,0.5696004798998198,0.8469283276450512,0.7697446257172407,0.8465757995966561,0.6933341312179818,0.050392804801728475,0.4172905385494232,0.5175853371620178,0.4683361053466797,0.019791588187217712
17,0.0009638427779428612,10.356,0.42862977276956965,0.3877400352651933,0.8909676593566004,0.835135255276775,0.8902547660221708,0.7802585592539164,0.5414624754886171,0.8482081911262799,0.770604410593491,0.8471350203040996,0.6943098334728889,0.06453084468328396,0.4123550355434418,0.5138598084449768,0.46693116426467896,0.020484285429120064
18,0.0009554961988424088,10.168,0.4174033329850812,0.36701793424586143,0.8963008789145832,0.8437593976160996,0.8961101039886282,0.7917360942070313,0.5667815547347476,0.8514505119453925,0.7770860145990102,0.8514586266098145,0.7030375222120524,0.06667338301708947,0.3989497125148773,0.5158422589302063,0.46498429775238037,0.022341066971421242
19,0.0009463301457596552,10.282,0.4073642100965583,0.36043104657297587,0.8992661489888216,0.8472159732652753,0.8984284639950996,0.7963092976870337,0.5377624815437981,0.8537542662116041,0.7788994533405635,0.8528692553383325,0.7052561636507622,0.06831651992471177,0.3995727598667145,0.5130343437194824,0.46387940645217896,0.02217971161007881
20,0.0009363620667976085,10.214,0.3973008054384488,0.3557149445718644,0.9007594504650568,0.8495617922969739,0.8999739464607848,0.7994512816525203,0.5514943055732259,0.8549488054607508,0.7807642190076283,0.8539961146066697,0.7078563612151111,0.06879757328934566,0.3927529752254486,0.5141059756278992,0.4630318284034729,0.02346510998904705
21,0.0009256109367611207,10.18,0.3861006372657914,0.3377992298550365,0.9044927041556446,0.8547132454048456,0.9034445745091387,0.8063269984247241,0.5553243017847628,0.8525597269624573,0.777048173250373,0.851532051841409,0.7029301065234206,0.0776650721544726,0.38968950510025024,0.5146303772926331,0.46170517802238464,0.024960095062851906
22,0.0009140972210372712,10.304,0.3755486188961058,0.330774901674941,0.908097960576841,0.8604796155998674,0.9073158744522973,0.8139941550434177,0.5687028855187087,0.8560580204778157,0.7825106581788341,0.855257684969877,0.7101849176309573,0.07796895742103327,0.3891128897666931,0.5134304761886597,0.45988228917121887,0.02576410584151745
23,0.0009018428366383368,10.204,0.36628306723513776,0.3219991205154461,0.9100179196177148,0.8640903536907993,0.9096312806436326,0.8188369096614366,0.5867104762243329,0.8565699658703072,0.7839956204032832,0.8559817654868509,0.7123353410221873,0.08009473328751615,0.3857911229133606,0.5130575299263,0.4590620994567871,0.02600444108247757
24,0.0008888711104815145,10.325,0.3598481039055298,0.3240324719991382,0.9123218704667634,0.8665168658703915,0.9113388735323192,0.822043822070783,0.5584026211561196,0.8564846416382252,0.7829867776487152,0.855534591785688,0.7108197727365603,0.08353008822167629,0.38534438610076904,0.5122320055961609,0.4584297835826874,0.026513956487178802
25,0.0008752067349848089,10.153,0.3519190707813708,0.30395765683331355,0.9153511391756975,0.8716270952058124,0.9147071019453413,0.8288716809796663,0.553426014807444,0.8587030716723549,0.7870754769077191,0.8581895539616224,0.7162997767264367,0.08455161829809332,0.38292941451072693,0.5111426115036011,0.4578355550765991,0.026764050126075745
26,0.0008608757210636101,10.26,0.34492608630186217,0.30548753503117815,0.9138365048212305,0.8692050813118747,0.9129145398804237,0.8256921211608472,0.6198296164896708,0.8516211604095563,0.7745962177390837,0.849840519515448,0.6996323595237183,0.09460886357279097,0.3817603588104248,0.5145493149757385,0.45660457015037537,0.027656475082039833
27,0.0008459053486174387,10.202,0.33221173313648916,0.2819483845431667,0.9210043519071593,0.8804890163965993,0.9204930443217191,0.8407373752250548,0.5978028002859382,0.8563139931740614,0.7835612525069948,0.8558699674412774,0.7115857392142663,0.09692776388960445,0.37931811809539795,0.5122594833374023,0.4553528428077698,0.02820499986410141
28,0.0008303241146011062,10.151,0.32560929690868906,0.2735929690547461,0.9239909548596297,0.8851417833209506,0.9236268669246354,0.8468912696844894,0.6222225576537461,0.8562286689419796,0.783485152995891,0.8558393358243993,0.7114558050757562,0.10165663032505956,0.37413251399993896,0.5130285620689392,0.4543529748916626,0.028833869844675064
29,0.0008141616787791424,10.301,0.31738130229357026,0.262120280758453,0.9275108797678983,0.889934957038339,0.9268952536040114,0.8532679436280465,0.6220558739359469,0.8541808873720137,0.7799965454738246,0.8535509994614575,0.7068043283796678,0.10993841156451445,0.3785739541053772,0.5152966380119324,0.4537781774997711,0.029459936544299126
30,0.0007974488072667468,10.229,0.3027120562851536,0.27032447521704256,0.9250575987712262,0.8858314670511253,0.9242295569667239,0.8477895119271365,0.654459549705323,0.8525597269624573,0.7767304641793223,0.8515183485660042,0.7024210512152056,0.10910100287180291,0.3808910846710205,0.5111603736877441,0.4530784487724304,0.028999190777540207
31,0.0007802173139647414,10.316,0.29603458288047735,0.24459895396997564,0.9309668060414711,0.895329171375043,0.93043974150547,0.8604531170855453,0.6459583294269575,0.8582764505119453,0.7860694726347675,0.8575995934282349,0.7148161893763675,0.10925969874027552,0.3798040747642517,0.5130006670951843,0.4522329568862915,0.029231587424874306
32,0.0007624999999999999,10.203,0.29053309176071723,0.24136603697187126,0.9321827801006912,0.8974148600344241,0.9318148396447364,0.8632553719691206,0.6975664006565211,0.8590443686006826,0.7876920393473834,0.8585903278826285,0.7170934550014513,0.10972282068704065,0.37898528575897217,0.5116814970970154,0.4522886872291565,0.029470771551132202
33,0.0007443305912866413,10.281,0.2816852673612283,0.23753807393700324,0.9332280911340558,0.8982410349607832,0.9324392232593076,0.8643498262127164,0.6479475857047905,0.8570819112627986,0.7831233323242003,0.8557900003531985,0.710944914249497,0.11511770263658294,0.3787997364997864,0.511100709438324,0.45195403695106506,0.029697855934500694
34,0.0007257436743268323,10.163,0.27510222397558376,0.22498216120870623,0.9369186790681798,0.9049273533091671,0.936727248677432,0.8733502852772106,0.6750027545483039,0.8609215017064846,0.791325682625267,0.8608077877650394,0.7221376625227603,0.11360167068390004,0.37985366582870483,0.5100971460342407,0.4510456919670105,0.030064299702644348
35,0.0007067746303734177,10.167,0.2685500281921008,0.2230468536539181,0.9384119805444151,0.9067070012794476,0.9380210597393039,0.8756235575648995,0.6990616231241323,0.8558873720136518,0.7824731689816511,0.8552313665095971,0.7100780103688896,0.1242338322977965,0.3762522339820862,0.5100177526473999,0.4504101872444153,0.030690738931298256
36,0.0006874595680796927,10.324,0.2598070137807356,0.21709884948057673,0.9389879682566772,0.9080341156081959,0.9388684457530014,0.8773930433365641,0.7232710041283748,0.8533276450511945,0.7796594044898358,0.8532139063202602,0.7063263438036778,0.12837471111836007,0.3752409815788269,0.5149083137512207,0.4500134289264679,0.03134265914559364
37,0.0006678352547645297,10.217,0.25280841487835815,0.19790131498323038,0.9444278522058196,0.9161248450081859,0.9442460814101089,0.8881877924340644,0.7438855586605267,0.8610068259385666,0.7908131604965803,0.8607622434729116,0.7211695455083681,0.12531168451160557,0.37626537680625916,0.5156256556510925,0.4495067298412323,0.03170830011367798
38,0.0006479390464236974,10.311,0.246304276545144,0.19301555537838752,0.9458144892908952,0.9179544515313934,0.9454978303494713,0.8906130464863024,0.7642022433948191,0.8572525597269625,0.7846930012783426,0.8567974442750836,0.7129524455420994,0.1332614502530508,0.3766447603702545,0.5168332457542419,0.44938790798187256,0.03171901777386665
39,0.0006278088166205988,10.178,0.23994438330237497,0.19112142989411474,0.9472011263759706,0.9202363190202237,0.9469902887464358,0.8936555364714094,0.7571649541627018,0.8587030716723549,0.7869079198335709,0.8581740804970688,0.7159625725231088,0.13332839918665285,0.3732300400733948,0.5184777975082397,0.44867077469825745,0.03227430582046509
40,0.000607482884391792,10.282,0.23201762465438253,0.17845421065796113,0.9506143868930796,0.9252693494671822,0.950334201647199,0.9003733545417308,0.7650871911146535,0.8577645051194539,0.7851585640054561,0.8570614541956808,0.7136016445372858,0.14011078546172606,0.37111061811447144,0.5196543335914612,0.4481157958507538,0.03238734230399132
41,0.0005869999413045246,10.161,0.22636139156600907,0.1747094632995567,0.9517876951958358,0.9272828387720915,0.9516609953063551,0.9030651192730496,0.7910495096099255,0.8575938566552901,0.786051376673582,0.8575159388632148,0.714877436646011,0.14123146209850945,0.37141096591949463,0.5207200050354004,0.4476913511753082,0.032444726675748825
42,0.0005663989778051377,10.193,0.21678932476574186,0.17700132439873795,0.95238501578633,0.9280258398296684,0.9521922508968168,0.9040415642173355,0.7893840251522259,0.8556313993174062,0.7826629004796455,0.8553757186520373,0.710274093169538,0.14536293935002287,0.3726153075695038,0.5209870338439941,0.44710204005241394,0.032798975706100464
43,0.0005457192089985347,10.318,0.21612510627798584,0.1636522996864564,0.9541769775578121,0.9309095046257082,0.9540815373639102,0.9078864506120553,0.8821306486992299,0.8565699658703072,0.7846770303418913,0.856679548571185,0.7129311509601642,0.14623247428381692,0.36984506249427795,0.5248871445655823,0.447013258934021,0.03355187177658081
44,0.0005250000000000001,10.204,0.20509001620546807,0.1597361548837363,0.955435617373496,0.9326283610063582,0.9552434096754605,0.9101711480084775,0.8594119902356899,0.8563139931740614,0.7834451563536908,0.8558791784131822,0.7113171010015985,0.14918320465266732,0.36973172426223755,0.523421585559845,0.44684240221977234,0.03382620960474014
45,0.0005042807910014655,10.293,0.19812435671472237,0.14912472244112734,0.9581022271524874,0.9365875904975165,0.9578721502027928,0.9154501206633553,0.8841836993197939,0.8613481228668942,0.7906755418540159,0.8607225990586366,0.7209576150020318,0.1459120486435006,0.36722490191459656,0.5209382772445679,0.44680550694465637,0.0339331217110157
46,0.0004836010221948623,10.159,0.19543545989173297,0.1512183788507396,0.9578248997354724,0.9362650807003738,0.9576445290300885,0.9150201076004985,0.8651945365573765,0.8598976109215017,0.7886617990468512,0.8593957638556037,0.7182726245924789,0.14760328165352266,0.3675892651081085,0.5205623507499695,0.4464750587940216,0.03430122509598732
