run,train_macro_f1_delta_vs_C2,train_accuracy_delta_vs_C2,train_weighted_f1_delta_vs_C2,train_Benign_f1_delta_vs_C2,train_Ransomware_f1_delta_vs_C2,train_Spyware_f1_delta_vs_C2,train_Trojan_f1_delta_vs_C2,val_macro_f1_delta_vs_C2,val_accuracy_delta_vs_C2,val_weighted_f1_delta_vs_C2,val_Benign_f1_delta_vs_C2,val_Ransomware_f1_delta_vs_C2,val_Spyware_f1_delta_vs_C2,val_Trojan_f1_delta_vs_C2,gap_macro_f1_delta_vs_C2
K1024_RANK_SAFE,-0.005076106425725979,-0.003647922177660301,-0.003498650993836172,-0.00034144259496371454,-0.0075348506292512996,-0.0062383962552889916,-0.006189736223400133,-0.02582096212261542,-0.017576791808873726,-0.017360355297388996,-0.0005127325260267934,-0.03516168633775718,-0.031045980798192874,-0.03656344882848506,0.02074485569688944
K1024_ABS_CONTROL,0.01678795444630954,0.010986432289444403,0.011131437695752977,0.0,0.022607242574080533,0.015596299843247063,0.028948275367911114,-0.01568671060665794,-0.010665529010238872,-0.010461973113333634,0.00017072129748185727,-0.023432419046400588,-0.02623666659808299,-0.01324847807962981,0.03247466505296748
