true_class,pred_class,n,pred_closer_than_true_centroid_rate,dist_to_true_centroid_mean,dist_to_pred_centroid_mean,centroid_margin_true_minus_pred_mean
Trojan,Ransomware,361,0.1440443213296399,6.392788429999946,6.486407186185884,-0.09361875618593844
Ransomware,Spyware,287,0.5331010452961672,7.594552955560983,7.599115818635097,-0.004562863074113268
Trojan,Spyware,209,0.31100478468899523,6.272684914073305,6.376470145996678,-0.10378523192337255
Ransomware,Trojan,202,0.806930693069307,6.699913142931344,6.629163048054912,0.070750094876431
Spyware,Trojan,196,0.7551020408163265,7.092640025275094,6.961161834853036,0.1314781904220581
Spyware,Ransomware,161,0.5217391304347826,7.596566647476291,7.574859666528169,0.02170698094812239
Benign                                                                                      ,Spyware,4,1.0,8.756260395050049,7.188069581985474,1.5681908130645752
Benign                                                                                      ,Ransomware,1,1.0,9.123983383178711,8.503742218017578,0.6202411651611328
Spyware,Benign                                                                                      ,1,0.0,27.414382934570312,29.686609268188477,-2.272226333618164
Benign                                                                                      ,Trojan,1,1.0,7.985962390899658,6.244983196258545,1.7409791946411133
