audit_subset,pair,feature_idx,feature,strategy,delta_margin_mean,delta_margin_positive_frac,abs_delta_margin_mean,gradxinput_mean,gradxinput_positive_frac,abs_gradxinput_mean,last_cls_attention_mean,rollout_attention_mean,occ_support_score,grad_support_score,attn_score,consensus_wrong_support_score
cls_ood_confident,ALL,5,dlllist.ndlls,keep_current,0.6682285070419312,0.553125,2.0003931522369385,0.06094245985150337,0.565625,0.1893118917942047,,,0.5016074146351241,1.0,0.0,0.600803707317562
cls_ood_confident,ALL,27,malfind.commitCharge,keep_current,1.332174301147461,0.540625,2.6425070762634277,-0.10779345035552979,0.45625,0.2652619779109955,,,1.0,0.0,0.0,0.5
cls_ood_confident,ALL,20,ldrmodules.not_in_load,keep_current,1.123981237411499,0.590625,2.8305251598358154,-0.2449062317609787,0.384375,0.8224309086799622,,,0.8437193514717737,0.0,0.0,0.42185967573588684
cls_ood_confident,ALL,22,ldrmodules.not_in_mem,keep_current,1.1056127548217773,0.590625,2.7636172771453857,-0.20130200684070587,0.3875,0.6734033823013306,,,0.8299310036753178,0.0,0.0,0.4149655018376589
cls_ood_confident,ALL,16,handles.nsemaphore,keep_current,1.0905029773712158,0.603125,2.587914228439331,-0.13243360817432404,0.478125,1.3339755535125732,,,0.8185888111127179,0.0,0.0,0.40929440555635893
cls_ood_confident,ALL,28,malfind.protection,keep_current,0.8329046964645386,0.559375,1.7571065425872803,-0.08781147003173828,0.5125,0.32001471519470215,,,0.625222011674539,0.0,0.0,0.3126110058372695
cls_ood_confident,ALL,13,handles.nkey,keep_current,0.7929311394691467,0.55,2.967613935470581,-0.23355868458747864,0.409375,1.1233279705047607,,,0.5952157602696283,0.0,0.0,0.29760788013481415
cls_ood_confident,ALL,29,malfind.uniqueInjections,rank_uniform_offset,0.4539925456047058,0.525,2.467238187789917,0.021504655480384827,0.54375,0.08162172138690948,,,0.3407906497022663,0.3528681896461771,0.0,0.29389919122729513
cls_ood_confident,ALL,18,handles.nsection,keep_current,0.6580255627632141,0.515625,2.3068950176239014,0.0008727118256501853,0.434375,0.35634946823120117,,,0.4939485487720544,0.014320259270411723,0.0,0.2519863651306713
cls_ood_confident,ALL,10,handles.nfile,keep_current,0.5874296426773071,0.559375,2.3541715145111084,-0.08189190179109573,0.440625,0.6059213876724243,,,0.44095554325836184,0.0,0.0,0.22047777162918092
cls_ood_confident,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,0.5696696043014526,0.515625,1.7336876392364502,-0.021338915452361107,0.4375,0.36237165331840515,,,0.4276239256460441,0.0,0.0,0.21381196282302206
cls_ood_confident,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.08522282540798187,0.5375,0.5230721831321716,0.025526657700538635,0.4875,0.06449194997549057,,,0.06397272889484182,0.4188649057281026,0.0,0.17858908145225683
cls_ood_confident,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,0.011660715565085411,0.003125,0.0141676664352417,0.02890613116323948,0.503125,0.03566723316907883,,,0.008753145556885101,0.47431841828626814,0.0,0.17038801917863639
cls_ood_confident,ALL,15,handles.ndirectory,discrete_compact_offset0,0.3852180242538452,0.54375,1.0025027990341187,-0.009710218757390976,0.484375,0.049719441682100296,,,0.289164881744108,0.0,0.0,0.144582440872054
cls_ood_confident,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.32674312591552734,0.621875,0.9121068716049194,-0.0555342435836792,0.4375,0.3788006007671356,,,0.24527055178446916,0.0,0.0,0.12263527589223458
cls_ood_confident,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,0.30617937445640564,0.596875,0.8688682317733765,-0.019774213433265686,0.45625,0.316103994846344,,,0.22983431987291733,0.0,0.0,0.11491715993645867
cls_ood_confident,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,0.27454110980033875,0.54375,0.8332014083862305,-0.017694085836410522,0.471875,0.1025875061750412,,,0.20608497669101128,0.0,0.0,0.10304248834550564
cls_ood_confident,ALL,17,handles.ntimer,discrete_compact_offset0,0.26901841163635254,0.521875,1.2297728061676025,-0.03787431865930557,0.496875,0.46778470277786255,,,0.20193934938140978,0.0,0.0,0.10096967469070489
cls_ood_confident,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,0.11998768895864487,0.540625,0.5582517981529236,0.009366028942167759,0.50625,0.09389469772577286,,,0.09006906142484068,0.1536864275743,0.0,0.09882478036342535
cls_ood_confident,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,0.08795729279518127,0.459375,0.4843294620513916,0.008380858227610588,0.48125,0.058102112263441086,,,0.06602536373762784,0.1375208392971332,0.0,0.08114497562281053
cls_ood_confident,ALL,19,handles.nmutant,keep_current,0.20056621730327606,0.509375,1.9785716533660889,-0.011693666689097881,0.528125,0.2607719302177429,,,0.150555537012326,0.0,0.0,0.075277768506163
cls_ood_confident,ALL,2,pslist.avg_threads,rank_uniform_offset,0.19822600483894348,0.60625,0.4886285662651062,-0.0003603220102377236,0.5125,0.16345620155334473,,,0.1487988506220264,0.0,0.0,0.0743994253110132
cls_ood_confident,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,0.19292739033699036,0.378125,0.6279077529907227,-0.004113817121833563,0.50625,0.15355725586414337,,,0.1448214322786541,0.0,0.0,0.07241071613932705
cls_ood_confident,ALL,1,pslist.nppid,discrete_compact_offset0,0.17606548964977264,0.478125,0.7010012865066528,-0.017472295090556145,0.525,0.08267362415790558,,,0.1321640039881565,0.0,0.0,0.06608200199407825
cls_ood_confident,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,0.1416025459766388,0.546875,0.47708433866500854,-0.027954015880823135,0.490625,0.0808756873011589,,,0.10629430837591615,0.0,0.0,0.053147154187958075
cls_ood_confident,ALL,14,handles.nthread,keep_current,0.07376416027545929,0.565625,0.35937264561653137,-0.0036918253172188997,0.5,0.06215804070234299,,,0.055371253004898036,0.0,0.0,0.027685626502449018
