audit_subset,pair,feature_idx,feature,strategy,delta_margin_mean,delta_margin_positive_frac,abs_delta_margin_mean,gradxinput_mean,gradxinput_positive_frac,abs_gradxinput_mean,last_cls_attention_mean,rollout_attention_mean,occ_support_score,grad_support_score,attn_score,consensus_wrong_support_score
model_amplification,ALL,16,handles.nsemaphore,keep_current,1.9742457866668701,0.65,2.8788974285125732,-0.18435260653495789,0.440625,0.9505336880683899,,,1.0,0.0,0.0,0.5
model_amplification,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.15651747584342957,0.625,0.3714997172355652,0.018938874825835228,0.515625,0.045618265867233276,,,0.07927963017597665,1.0,0.0,0.3896398150879883
model_amplification,ALL,27,malfind.commitCharge,keep_current,1.4054628610610962,0.584375,2.4240405559539795,-0.004409981891512871,0.45625,0.14689111709594727,,,0.7118986250612427,0.0,0.0,0.35594931253062134
model_amplification,ALL,5,dlllist.ndlls,keep_current,0.8045355677604675,0.596875,1.4143338203430176,0.005752964876592159,0.528125,0.12197814136743546,,,0.40751540319544977,0.3037648714349347,0.0,0.31007540659995203
model_amplification,ALL,20,ldrmodules.not_in_load,keep_current,1.122278094291687,0.609375,2.4114015102386475,-0.13280534744262695,0.425,0.5918470621109009,,,0.5684591563375881,0.0,0.0,0.2842295781687941
model_amplification,ALL,22,ldrmodules.not_in_mem,keep_current,1.0636615753173828,0.603125,2.2658956050872803,-0.11365348100662231,0.425,0.48094359040260315,,,0.5387685679771252,0.0,0.0,0.2693842839885626
model_amplification,ALL,48,svcscan.process_services,discrete_compact_offset0,0.024000389501452446,0.05,0.04604106768965721,0.013963127508759499,0.521875,0.025265511125326157,,,0.012156738367400765,0.737273340531924,0.0,0.26412403836987375
model_amplification,ALL,10,handles.nfile,keep_current,0.9215744733810425,0.65625,1.9461170434951782,-0.04896772652864456,0.44375,0.34149104356765747,,,0.4667982475155445,0.0,0.0,0.23339912375777225
model_amplification,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,0.22664184868335724,0.365625,0.5123006105422974,0.009440472349524498,0.459375,0.10431621223688126,,,0.11479920596208941,0.4984706027332942,0.0,0.23186431393769766
model_amplification,ALL,13,handles.nkey,keep_current,0.8631949424743652,0.590625,2.175121307373047,-0.2909870743751526,0.375,0.7699687480926514,,,0.4372276989541925,0.0,0.0,0.21861384947709625
model_amplification,ALL,28,malfind.protection,keep_current,0.8493587374687195,0.546875,1.452331304550171,-0.10662347078323364,0.553125,0.249114990234375,,,0.43021934918381993,0.0,0.0,0.21510967459190997
model_amplification,ALL,29,malfind.uniqueInjections,rank_uniform_offset,0.35444989800453186,0.46875,1.8755394220352173,0.0057055335491895676,0.54375,0.040803514420986176,,,0.17953686435514776,0.30126042870331643,0.0,0.19520958222373463
model_amplification,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,0.0,0.0,0.0,0.01015933696180582,0.521875,0.01892930641770363,,,0.0,0.5364276946351157,0.0,0.1877496931222905
model_amplification,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,0.11408569663763046,0.53125,0.35708415508270264,0.008316378109157085,0.46875,0.036285292357206345,,,0.057786977390612525,0.43911680000188835,0.0,0.18258436869596717
model_amplification,ALL,44,modules.nmodules,discrete_compact_offset0,2.9589980840682983e-05,0.05,0.002669858280569315,0.00827312096953392,0.478125,0.01811397261917591,,,1.4987992397157351e-05,0.43683276042609703,0.0,0.15289896014533252
model_amplification,ALL,3,pslist.nprocs64bit,constant,0.0,0.0,0.0,0.006539578549563885,0.528125,0.009144407697021961,,,0.0,0.3452992117907132,0.0,0.12085472412674962
model_amplification,ALL,18,handles.nsection,keep_current,0.45424073934555054,0.440625,1.7668901681900024,-0.03852919489145279,0.421875,0.1955791562795639,,,0.23008317526281652,0.0,0.0,0.11504158763140826
model_amplification,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.42014360427856445,0.696875,0.7183275818824768,-0.05729716271162033,0.43125,0.2548061013221741,,,0.21281220763697067,0.0,0.0,0.10640610381848534
