audit_subset,pair,feature_idx,feature,strategy,delta_margin_mean,delta_margin_positive_frac,abs_delta_margin_mean,gradxinput_mean,gradxinput_positive_frac,abs_gradxinput_mean,last_cls_attention_mean,rollout_attention_mean,occ_support_score,grad_support_score,attn_score,consensus_wrong_support_score
feature_space_overlap,ALL,20,ldrmodules.not_in_load,keep_current,0.40773215889930725,0.496875,1.30231511592865,0.06193036958575249,0.55,0.23161189258098602,,,0.3562032095418948,1.0,0.0,0.5281016047709474
feature_space_overlap,ALL,16,handles.nsemaphore,keep_current,1.1446616649627686,0.575,2.059317111968994,-0.09633810073137283,0.459375,0.44814959168434143,,,1.0,0.0,0.0,0.5
feature_space_overlap,ALL,22,ldrmodules.not_in_mem,keep_current,0.4102177619934082,0.521875,1.2038133144378662,0.04267983138561249,0.51875,0.19109396636486053,,,0.35837468358543395,0.6891583510819429,0.0,0.42039276467139697
feature_space_overlap,ALL,28,malfind.protection,keep_current,0.3649119734764099,0.5375,0.8365188837051392,-0.03457510471343994,0.546875,0.07551413029432297,,,0.3187946138549849,0.0,0.0,0.15939730692749246
feature_space_overlap,ALL,10,handles.nfile,keep_current,0.29192298650741577,0.55,1.1278207302093506,-0.040552202612161636,0.428125,0.19624760746955872,,,0.2550299319379329,0.0,0.0,0.12751496596896644
feature_space_overlap,ALL,5,dlllist.ndlls,keep_current,0.13593947887420654,0.49375,0.6361007690429688,0.01029667817056179,0.55,0.049945734441280365,,,0.11875952784583568,0.16626217862795725,0.0,0.11757152644270288
feature_space_overlap,ALL,27,malfind.commitCharge,keep_current,0.2543654441833496,0.51875,0.9815805554389954,-0.006509791128337383,0.56875,0.06241496652364731,,,0.22221888962414335,0.0,0.0,0.11110944481207168
feature_space_overlap,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.1844298243522644,0.65,0.3782931864261627,-0.012684534303843975,0.459375,0.1269145905971527,,,0.16112169211001157,0.0,0.0,0.08056084605500578
feature_space_overlap,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,0.16216644644737244,0.6,0.35099342465400696,0.0007123310351744294,0.459375,0.11112534999847412,,,0.1416719467517479,0.01150212795336371,0.0,0.07486171815955125
feature_space_overlap,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,0.0792744904756546,0.6375,0.1934090405702591,0.005446747876703739,0.53125,0.029643047600984573,,,0.06925582720395645,0.08794954580663122,0.0,0.06541025463429916
feature_space_overlap,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,0.047102686017751694,0.503125,0.17476432025432587,0.007053644862025976,0.478125,0.030324380844831467,,,0.041149876386647195,0.11389637925959861,0.0,0.060438670934183106
feature_space_overlap,ALL,13,handles.nkey,keep_current,0.12534096837043762,0.51875,1.47526216506958,-0.2222699224948883,0.3625,0.439922034740448,,,0.10950045083803386,0.0,0.0,0.05475022541901693
feature_space_overlap,ALL,1,pslist.nppid,discrete_compact_offset0,0.11200183629989624,0.328125,0.17331266403198242,0.0005781081272289157,0.55,0.007530792150646448,,,0.09784711039793512,0.00933480828704619,0.0,0.052190738099433726
feature_space_overlap,ALL,18,handles.nsection,keep_current,0.09659786522388458,0.41875,1.0293079614639282,-0.04438188299536705,0.440625,0.08891933411359787,,,0.0843898840859902,0.0,0.0,0.0421949420429951
feature_space_overlap,ALL,29,malfind.uniqueInjections,rank_uniform_offset,-0.19779667258262634,0.3625,0.8867260217666626,0.007175810635089874,0.51875,0.017502494156360626,,,0.0,0.11586901035934911,0.0,0.04055415362577219
feature_space_overlap,ALL,21,ldrmodules.not_in_init,keep_current,0.025386419147253036,0.509375,0.11089962720870972,0.004644288681447506,0.434375,0.02896871045231819,,,0.02217809849347821,0.07499210343023623,0.0,0.03733628544732179
feature_space_overlap,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0803515836596489,0.63125,0.18511374294757843,-0.020056720823049545,0.496875,0.03792722150683403,,,0.07019679798769396,0.0,0.0,0.03509839899384698
feature_space_overlap,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,0.05866594240069389,0.6125,0.19788014888763428,-0.011784830130636692,0.471875,0.05149718374013901,,,0.05125177525937507,0.0,0.0,0.025625887629687535
feature_space_overlap,ALL,15,handles.ndirectory,discrete_compact_offset0,0.0522419810295105,0.45,0.2765687108039856,-0.0011500732507556677,0.5125,0.010361723601818085,,,0.04563967033106654,0.0,0.0,0.02281983516553327
feature_space_overlap,ALL,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,0.0503225214779377,0.575,0.1930667608976364,-0.004931161180138588,0.478125,0.022051312029361725,,,0.04396279094362306,0.0,0.0,0.02198139547181153
feature_space_overlap,ALL,2,pslist.avg_threads,rank_uniform_offset,0.0444101020693779,0.5,0.22663474082946777,0.00015245992108248174,0.515625,0.0459040142595768,,,0.03879757960691589,0.0024617957571103567,0.0,0.02026041831844657
feature_space_overlap,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,0.0,0.0,0.0,0.0032942891120910645,0.55625,0.007865465246140957,,,0.0,0.05319343537147143,0.0,0.018617702380015
feature_space_overlap,ALL,4,pslist.avg_handlers,rank_uniform_offset,0.009341960772871971,0.484375,0.11896736919879913,0.002546727191656828,0.428125,0.03462962061166763,,,0.008161329289537996,0.0411224284416788,0.0,0.018473514599356575
feature_space_overlap,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,0.019824262708425522,0.509375,0.13263332843780518,0.0014120653504505754,0.553125,0.021195024251937866,,,0.017318884099320586,0.022800854570960462,0.0,0.016639741149496456
feature_space_overlap,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,0.03618934750556946,0.55625,0.12121325731277466,-0.009862993843853474,0.434375,0.0293754693120718,,,0.03161575914813794,0.0,0.0,0.01580787957406897
feature_space_overlap,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,0.030305171385407448,0.521875,0.22330030798912048,-0.008988120593130589,0.503125,0.020837660878896713,,,0.026475221729726713,0.0,0.0,0.013237610864863357
feature_space_overlap,ALL,14,handles.nthread,keep_current,0.02247783914208412,0.55,0.10612069070339203,-0.003384231822565198,0.459375,0.01852581463754177,,,0.019637103111001135,0.0,0.0,0.009818551555500567
feature_space_overlap,ALL,7,handles.nhandles,rank_uniform_offset,0.021167369559407234,0.575,0.11151935905218124,-0.006194853223860264,0.471875,0.02315363846719265,,,0.018492249899969986,0.0,0.0,0.009246124949984993
feature_space_overlap,ALL,44,modules.nmodules,discrete_compact_offset0,0.00021398365788627416,0.015625,0.00030719340429641306,0.0015991174150258303,0.559375,0.006126375403255224,,,0.00018694052962211696,0.025821215434724588,0.0,0.009130895666964664
feature_space_overlap,ALL,48,svcscan.process_services,discrete_compact_offset0,-0.0007892262074165046,0.0125,0.003969097509980202,0.0015088035725057125,0.54375,0.006700935773551464,,,0.0,0.02436290276641306,0.0,0.00852701596824457
