audit_subset,pair,feature_idx,feature,strategy,delta_margin_mean,delta_margin_positive_frac,abs_delta_margin_mean,gradxinput_mean,gradxinput_positive_frac,abs_gradxinput_mean,last_cls_attention_mean,rollout_attention_mean,occ_support_score,grad_support_score,attn_score,consensus_wrong_support_score
all_wrong_high_conf,ALL,27,malfind.commitCharge,keep_current,1.4540801048278809,0.6,2.5298361778259277,0.01990213617682457,0.484375,0.20001883804798126,,,0.7301681540053567,1.0,0.0,0.7150840770026783
all_wrong_high_conf,ALL,16,handles.nsemaphore,keep_current,1.9914318323135376,0.646875,2.876305341720581,-0.17679496109485626,0.41875,0.9695995450019836,,,1.0,0.0,0.0,0.5
all_wrong_high_conf,ALL,29,malfind.uniqueInjections,rank_uniform_offset,0.33969205617904663,0.4625,1.8992774486541748,0.016937708482146263,0.496875,0.06236705929040909,,,0.17057679337404727,0.8510497733338649,0.0,0.3831558173538763
all_wrong_high_conf,ALL,20,ldrmodules.not_in_load,keep_current,1.1866811513900757,0.6125,2.320697784423828,-0.12419676780700684,0.4125,0.5288885831832886,,,0.5958934331241726,0.0,0.0,0.2979467165620863
all_wrong_high_conf,ALL,22,ldrmodules.not_in_mem,keep_current,1.1555390357971191,0.609375,2.2196743488311768,-0.10982351005077362,0.421875,0.4302954077720642,,,0.580255380599534,0.0,0.0,0.290127690299767
all_wrong_high_conf,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,0.029321620240807533,0.00625,0.029321620240807533,0.015545669011771679,0.475,0.020767783746123314,,,0.014723888493207053,0.7811055493567638,0.0,0.28074888652147084
all_wrong_high_conf,ALL,13,handles.nkey,keep_current,1.0102771520614624,0.65,2.134324073791504,-0.2201082706451416,0.41875,0.6999471783638,,,0.5073119429289111,0.0,0.0,0.25365597146445557
all_wrong_high_conf,ALL,10,handles.nfile,keep_current,0.9153962135314941,0.6625,1.7711646556854248,-0.046679142862558365,0.453125,0.3572854697704315,,,0.45966736027717126,0.0,0.0,0.22983368013858563
all_wrong_high_conf,ALL,28,malfind.protection,keep_current,0.8688986897468567,0.58125,1.4486844539642334,-0.08967147767543793,0.553125,0.24264907836914062,,,0.4363185702105692,0.0,0.0,0.2181592851052846
all_wrong_high_conf,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,-0.004921420011669397,0.00625,0.005152569618076086,0.0102295633405447,0.546875,0.01994367688894272,,,0.0,0.5139932341763752,0.0,0.1798976319617313
all_wrong_high_conf,ALL,44,modules.nmodules,discrete_compact_offset0,0.0010119497310370207,0.05625,0.0025168030988425016,0.009739847853779793,0.5,0.01932952180504799,,,0.0005081518305657454,0.4893870571100578,0.0,0.1715395459038031
