run,split,strategy,class,n_features,class_Benign_bins_used_mean,class_Benign_bins_used_median,class_Benign_bins_used_max,class_Benign_dominant_ratio_mean,class_Benign_dominant_ratio_median,class_Benign_dominant_ratio_max,class_Benign_rare_trainref_ratio_mean,class_Benign_rare_trainref_ratio_median,class_Benign_rare_trainref_ratio_max,class_Ransomware_bins_used_mean,class_Ransomware_bins_used_median,class_Ransomware_bins_used_max,class_Ransomware_dominant_ratio_mean,class_Ransomware_dominant_ratio_median,class_Ransomware_dominant_ratio_max,class_Ransomware_rare_trainref_ratio_mean,class_Ransomware_rare_trainref_ratio_median,class_Ransomware_rare_trainref_ratio_max,class_Spyware_bins_used_mean,class_Spyware_bins_used_median,class_Spyware_bins_used_max,class_Spyware_dominant_ratio_mean,class_Spyware_dominant_ratio_median,class_Spyware_dominant_ratio_max,class_Spyware_rare_trainref_ratio_mean,class_Spyware_rare_trainref_ratio_median,class_Spyware_rare_trainref_ratio_max,class_Trojan_bins_used_mean,class_Trojan_bins_used_median,class_Trojan_bins_used_max,class_Trojan_dominant_ratio_mean,class_Trojan_dominant_ratio_median,class_Trojan_dominant_ratio_max,class_Trojan_rare_trainref_ratio_mean,class_Trojan_rare_trainref_ratio_median,class_Trojan_rare_trainref_ratio_max
C2_K512,val,keep_current,Benign,14,222.42857142857142,269.0,362.0,0.14422233057045344,0.055204778156996585,0.9933447098976109,0.005948317893710385,0.004180887372013652,0.016040955631399317,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_K512,val,keep_current,Ransomware,14,,,,,,,,,,114.85714285714286,112.0,241.0,0.22569824254357182,0.0967330270546197,0.9979581419091373,0.005104645227156713,0.0030627871362940273,0.031138335885655948,,,,,,,,,,,,,,,,,,
C2_K512,val,keep_current,Spyware,14,,,,,,,,,,,,,,,,,,,132.07142857142858,138.5,257.0,0.21588964927288282,0.09256487025948104,0.9955089820359282,0.006487025948103792,0.003493013972055888,0.02694610778443114,,,,,,,,,
C2_K512,val,keep_current,Trojan,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.85714285714286,90.0,243.0,0.2418856841629641,0.12229836584080125,0.9984185556141276,0.0031628887717448607,0.0005271481286241434,0.023721665788086453
C2_K512,val,rank_uniform_offset,Benign,15,466.1333333333333,489.0,503.0,0.14112627986348122,0.05187713310580205,0.4783276450511945,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_K512,val,rank_uniform_offset,Ransomware,15,,,,,,,,,,148.0,129.0,317.0,0.16678577505530032,0.07299642674834099,0.8269525267993875,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
C2_K512,val,rank_uniform_offset,Spyware,15,,,,,,,,,,,,,,,,,,,168.13333333333333,152.0,335.0,0.1631736526946108,0.06287425149700598,0.8043912175648703,0.0,0.0,0.0,,,,,,,,,
C2_K512,val,rank_uniform_offset,Trojan,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.06666666666666,100.0,273.0,0.16907397645405026,0.09066947812335266,0.834475487612019,0.0,0.0,0.0
K1024_RANK_SAFE,train,unknown,Benign,55,337.09090909090907,55.0,1018.0,0.41292306976239057,0.26947691782575306,1.0,0.007342388816917361,0.0007679836163495178,0.17864152231419064,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1024_RANK_SAFE,train,unknown,Ransomware,55,,,,,,,,,,128.8,71.0,703.0,0.4154122945491688,0.3263534218590398,1.0,0.01630838517968242,0.010597548518896834,0.10725229826353422,,,,,,,,,,,,,,,,,,
K1024_RANK_SAFE,train,unknown,Spyware,55,,,,,,,,,,,,,,,,,,,149.92727272727274,80.0,755.0,0.4063441299219743,0.3379491017964072,1.0,0.019733260751224828,0.009481037924151697,0.11988522954091817,,,,,,,,,
K1024_RANK_SAFE,train,unknown,Trojan,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.32727272727273,41.0,627.0,0.4259096897832075,0.33175230566534913,1.0,0.013395616241466046,0.005006587615283268,0.09736495388669301
K1024_RANK_SAFE,val,unknown,Benign,55,287.1272727272727,44.0,994.0,0.4131337263419175,0.2795221843003413,1.0,0.005147378219050574,0.0,0.17286689419795223,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1024_RANK_SAFE,val,unknown,Ransomware,55,,,,,,,,,,93.05454545454545,45.0,494.0,0.4139774467492691,0.3210821847881572,1.0,0.0024409485358949374,0.0005104645227156713,0.014293006636038795,,,,,,,,,,,,,,,,,,
K1024_RANK_SAFE,val,unknown,Spyware,55,,,,,,,,,,,,,,,,,,,104.23636363636363,49.0,508.0,0.40404645254944654,0.32934131736526945,1.0,0.0028034839412084925,0.0014970059880239522,0.020958083832335328,,,,,,,,,
K1024_RANK_SAFE,val,unknown,Trojan,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.78181818181818,28.0,420.0,0.4248909761824891,0.3257775434897206,1.0,0.0011788949058321755,0.0,0.014760147601476014
K1024_ABS_CONTROL,train,unknown,Benign,55,143.94545454545454,52.0,619.0,0.42023210171516345,0.28820718491338854,1.0,0.004211498033496497,0.0006399863469579316,0.028543391074323746,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1024_ABS_CONTROL,train,unknown,Ransomware,55,,,,,,,,,,103.74545454545455,76.0,356.0,0.4272216547497445,0.3263534218590398,1.0,0.013975299470702944,0.010597548518896834,0.04762512768130746,,,,,,,,,,,,,,,,,,
K1024_ABS_CONTROL,train,unknown,Spyware,55,,,,,,,,,,,,,,,,,,,116.6,83.0,400.0,0.4187511340954455,0.3379491017964072,1.0,0.015929504627109414,0.009481037924151697,0.05763473053892216,,,,,,,,,
K1024_ABS_CONTROL,train,unknown,Trojan,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.63636363636364,41.0,276.0,0.44200263504611326,0.33175230566534913,1.0,0.009421487603305785,0.005006587615283268,0.04519104084321476
K1024_ABS_CONTROL,val,unknown,Benign,55,118.92727272727272,44.0,473.0,0.4200310269934843,0.2960750853242321,1.0,0.0035401799565622093,0.00017064846416382253,0.025938566552901023,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1024_ABS_CONTROL,val,unknown,Ransomware,55,,,,,,,,,,67.07272727272728,48.0,226.0,0.4248828251891039,0.3210821847881572,1.0,0.0064040094667966035,0.00408371618172537,0.033180193976518634,,,,,,,,,,,,,,,,,,
K1024_ABS_CONTROL,val,unknown,Spyware,55,,,,,,,,,,,,,,,,,,,74.72727272727273,46.0,264.0,0.4162674650698603,0.32934131736526945,1.0,0.006586826347305389,0.003493013972055888,0.02445109780439122,,,,,,,,,
K1024_ABS_CONTROL,val,unknown,Trojan,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.43636363636364,28.0,229.0,0.4411942301241194,0.3257775434897206,1.0,0.0018018881487516175,0.0005271481286241434,0.014760147601476014
